source_id,原始行号,sku,name,brand,model,specs,ram,storage,color,region,pack_count,price,currency,问题原因,资料来源
98ed681e-83f9-4509-8194-3e6d6337816d,14,000013,小米 xiaomi 15 12+1024 黑色 国行 单机,小米,xiaomi 15,,12,1024,黑色,国行,1,1739,CNY,CONFLICT,
ec8a7ed2-129a-4479-81bb-4f8abe2cd8fa,15,000014,小米 xiaomi 15 16+1024 白色 国行 单机,小米,xiaomi 15,,16,1024,白色,国行,1,1939,CNY,CONFLICT,
b6855df0-9b59-46ac-9ee6-1778e7d3fff7,16,000015,三星 galaxy s25 12+1024 银色 国行 单机,三星,galaxy s25,,12,1024,银色,国行,1,2139,CNY,CONFLICT,
ea59739b-160a-4bb1-b102-62e8a8e8efa6,17,000016,三星 galaxy s25 ultra 12+1024 黑色 国行 单机,三星,galaxy s25 ultra,,12,1024,黑色,国行,1,2339,CNY,CONFLICT,
3fae5b03-809b-4e59-913c-a3402c142d73,18,000017,荣耀 honor 400 12+1024 蓝色 国行 单机,荣耀,honor 400,,12,1024,蓝色,国行,1,2539,CNY,CONFLICT,
f45f3a28-9250-463d-8a77-135b4dc563bd,19,000018,华为 pura 80 12+256 国行 单机,华为,pura 80,,12,256,,国行,1,2739,CNY,关键字段缺失：颜色,
c5207244-db0b-47c8-9aee-339f0b8c9ef8,20,000019,OPPO find x8 12+256 国行 单机,OPPO,find x8,,12,256,,国行,1,2939,CNY,关键字段缺失：颜色,
fa248953-4054-4225-9fa7-1dcee7787a7d,21,000020,vivo x200 12+256 国行 单机,vivo,x200,,12,256,,国行,1,3139,CNY,关键字段缺失：颜色,
7722249f-abbe-4eff-9801-ddb6453fe7f8,22,000021,A牌 x5 8+128 国行 单机,A牌,x5,,8,128,,国行,1,3339,CNY,关键字段缺失：颜色,
994b7b25-af6d-4e3d-bc4d-3e362145557c,23,000022,A牌 x5 12+256 国行 单机,A牌,x5,,12,256,,国行,1,3539,CNY,关键字段缺失：颜色,
82d45609-2c47-4417-b8eb-d3a838ebbea3,24,000023,A牌 X6-PRO 12+256 黑色 港版 单机,A牌,x6-pro,,12,256,黑色,港版,1,3739,CNY,CONFLICT,
12cc485a-29f2-45ed-96a7-c93451159318,25,000024,红米 NOTE 14 8+128 黑色 港版 单机,红米,note 14,,8,128,黑色,港版,1,3939,CNY,CONFLICT,
05301b4b-9c35-4123-ba85-83391ee7e438,26,000025,小米 XIAOMI 15 12+256 黑色 港版 单机,小米,xiaomi 15,,12,256,黑色,港版,1,1739,CNY,CONFLICT,
a23dea8a-94b8-4330-a9cc-65ef3deaea36,27,000026,小米 XIAOMI 15 16+512 白色 国行 2台装,小米,xiaomi 15,,16,512,白色,国行,2,1939,CNY,CONFLICT,
5cd71cf2-ab90-49f2-b790-f65710f776ca,28,000027,三星 GALAXY S25 12+256 银色 国行 2台装,三星,galaxy s25,,12,256,银色,国行,2,2139,CNY,CONFLICT,
1af56736-a0c0-4195-ae86-e9f30467cb0f,29,000028,三星 GALAXY S25 ULTRA 12+512 黑色 国行 2台装,三星,galaxy s25 ultra,,12,512,黑色,国行,2,2339,CNY,CONFLICT,
e1507512-54cb-4ef9-9a2d-2bc885b5f716,30,000029,ZZZ Q777 限量设备,ZZZ,q777,,64,4096,橙色,国际版,1,999,CNY,NO_CANDIDATE,
