source_id,原始行号,sku,name,brand,model,specs,ram,storage,color,region,pack_count,price,currency,问题原因,资料来源
0e0831a1-f7df-4d22-857b-65b875f2d309,14,000013,小米 xiaomi 15 12+1024 黑色 国行 单机,小米,xiaomi 15,,12,1024,黑色,国行,1,1739,CNY,CONFLICT,
18ef903f-108c-4a1e-b15c-4a9f2a53a81b,15,000014,小米 xiaomi 15 16+1024 白色 国行 单机,小米,xiaomi 15,,16,1024,白色,国行,1,1939,CNY,CONFLICT,
5c7cc1d2-6656-40fa-8be8-4b2f6be47edb,16,000015,三星 galaxy s25 12+1024 银色 国行 单机,三星,galaxy s25,,12,1024,银色,国行,1,2139,CNY,CONFLICT,
cb21690e-2904-4267-9ea6-7e19ce3fa3c0,17,000016,三星 galaxy s25 ultra 12+1024 黑色 国行 单机,三星,galaxy s25 ultra,,12,1024,黑色,国行,1,2339,CNY,CONFLICT,
04b0f956-c2fc-473f-852c-cf8a073a5e19,18,000017,荣耀 honor 400 12+1024 蓝色 国行 单机,荣耀,honor 400,,12,1024,蓝色,国行,1,2539,CNY,CONFLICT,
307e7cbf-4783-499a-ac5d-4d6b39b650fc,19,000018,华为 pura 80 12+256 国行 单机,华为,pura 80,,12,256,,国行,1,2739,CNY,关键字段缺失：颜色,
3e78ffb0-5ea7-4ee5-a779-e38794e48b05,20,000019,OPPO find x8 12+256 国行 单机,OPPO,find x8,,12,256,,国行,1,2939,CNY,关键字段缺失：颜色,
f7ffef43-2805-4957-b058-62e9b8388499,21,000020,vivo x200 12+256 国行 单机,vivo,x200,,12,256,,国行,1,3139,CNY,关键字段缺失：颜色,
a1d923c6-0789-48c0-9e2a-4705fcac9491,22,000021,A牌 x5 8+128 国行 单机,A牌,x5,,8,128,,国行,1,3339,CNY,关键字段缺失：颜色,
e735ddb0-66aa-4c09-9656-ce04a68fc55e,23,000022,A牌 x5 12+256 国行 单机,A牌,x5,,12,256,,国行,1,3539,CNY,关键字段缺失：颜色,
326abba0-dab9-4a4b-b6e1-815145017ab4,24,000023,A牌 X6-PRO 12+256 黑色 港版 单机,A牌,x6-pro,,12,256,黑色,港版,1,3739,CNY,CONFLICT,
fa8b75c7-d841-43b8-ae2b-6802c8f2f960,25,000024,红米 NOTE 14 8+128 黑色 港版 单机,红米,note 14,,8,128,黑色,港版,1,3939,CNY,CONFLICT,
95889a3c-95b3-466a-9586-20066f9171d2,26,000025,小米 XIAOMI 15 12+256 黑色 港版 单机,小米,xiaomi 15,,12,256,黑色,港版,1,1739,CNY,CONFLICT,
34ac54a8-48bc-41f9-b026-d969aa578daa,27,000026,小米 XIAOMI 15 16+512 白色 国行 2台装,小米,xiaomi 15,,16,512,白色,国行,2,1939,CNY,CONFLICT,
55b3ee76-ccec-406a-9b56-7bb61d24ca19,28,000027,三星 GALAXY S25 12+256 银色 国行 2台装,三星,galaxy s25,,12,256,银色,国行,2,2139,CNY,CONFLICT,
63e95d6f-ded5-4f2f-9120-1bdef6caa9fe,29,000028,三星 GALAXY S25 ULTRA 12+512 黑色 国行 2台装,三星,galaxy s25 ultra,,12,512,黑色,国行,2,2339,CNY,CONFLICT,
62e2c8ab-944a-497e-bbc9-604a0b46e004,30,000029,ZZZ Q777 限量设备,ZZZ,q777,,64,4096,橙色,国际版,1,999,CNY,NO_CANDIDATE,
