problem_id,source_id,run_id,revision_id,item_version,draft_version,verification,原始行号,sku,name,brand,model,specs,ram,storage,color,region,pack_count,price,currency,问题原因,资料来源
1c806292-588d-4312-afbd-4310fefb246d,7bf58122-ba04-40df-a0ad-f655d14909d8,c882225a-e87e-4a61-8bf2-95baa71241c4,2de94f43-d5ab-4554-9dca-37471573f1db,0,0,eyJhY3Rvcl9pZCI6IjNiZGU0N2I0LWExNzktNDEyNS1hODAyLTllMzVlOWFiOTk3OCIsImRyYWZ0X3ZlcnNpb24iOiIwIiwiaW5wdXRfaGFzaCI6IjExY2VhNDYyN2YzNzQwNmU5M2VkMWFlNzYzMGM0MTg5YjliYzk5MTA5YTIyOGFiM2NmNjA2MjVhYmRmOTI0NDUiLCJpdGVtX3ZlcnNpb24iOiIwIiwib3JnX2lkIjoiYzkyMTNhMjQtOTRhZi00ZWJjLTkwZjAtMmYwODI1ZDQxMTI5IiwicHJvYmxlbV9pZCI6IjFjODA2MjkyLTU4OGQtNDMxMi1hZmJkLTQzMTBmZWZiMjQ2ZCIsInJldmlzaW9uX2lkIjoiMmRlOTRmNDMtZDVhYi00NTU0LTlkY2EtMzc0NzE1NzNmMWRiIiwicnVuX2lkIjoiYzg4MjIyNWEtZTg3ZS00YTYxLThiZjItOTViYWE3MTI0MWM0Iiwic291cmNlX2lkIjoiN2JmNTgxMjItYmEwNC00MGRmLWEwYWQtZjY1NWQxNDkwOWQ4In0=.61f70b85b4ea489ad6a9fbc4af27512fc8a183e0d7c2643b8b44337d7397815d,2,000001,小米 XIAOMI 15 12+256 黑色 国行 原封 单台,小米,xiaomi 15,,12,256,黑色,国行,1,1739,CNY,PENDING / CONFLICT,
eb13bc8b-8b4a-4044-aba3-2d89d034ab1d,d19d6f18-f052-462d-8791-010ab72f90a2,c882225a-e87e-4a61-8bf2-95baa71241c4,2de94f43-d5ab-4554-9dca-37471573f1db,0,0,eyJhY3Rvcl9pZCI6IjNiZGU0N2I0LWExNzktNDEyNS1hODAyLTllMzVlOWFiOTk3OCIsImRyYWZ0X3ZlcnNpb24iOiIwIiwiaW5wdXRfaGFzaCI6IjExY2VhNDYyN2YzNzQwNmU5M2VkMWFlNzYzMGM0MTg5YjliYzk5MTA5YTIyOGFiM2NmNjA2MjVhYmRmOTI0NDUiLCJpdGVtX3ZlcnNpb24iOiIwIiwib3JnX2lkIjoiYzkyMTNhMjQtOTRhZi00ZWJjLTkwZjAtMmYwODI1ZDQxMTI5IiwicHJvYmxlbV9pZCI6ImViMTNiYzhiLThiNGEtNDA0NC1hYmEzLTJkODlkMDM0YWIxZCIsInJldmlzaW9uX2lkIjoiMmRlOTRmNDMtZDVhYi00NTU0LTlkY2EtMzc0NzE1NzNmMWRiIiwicnVuX2lkIjoiYzg4MjIyNWEtZTg3ZS00YTYxLThiZjItOTViYWE3MTI0MWM0Iiwic291cmNlX2lkIjoiZDE5ZDZmMTgtZjA1Mi00NjJkLTg3OTEtMDEwYWI3MmY5MGEyIn0=.f15373e3e6f562f1515ab0747f520dc7715f284ba47ac7511b0219e333e77606,14,000013,小米 xiaomi 15 12+1024 黑色 国行 单机,小米,xiaomi 15,,12,1024,黑色,国行,1,1739,CNY,PENDING / CONFLICT,
8ffb9dc2-c1e6-4d22-95f3-8e8cbbf0af5d,b1946bdd-8893-4797-990e-fef300ecc8af,c882225a-e87e-4a61-8bf2-95baa71241c4,2de94f43-d5ab-4554-9dca-37471573f1db,0,0,eyJhY3Rvcl9pZCI6IjNiZGU0N2I0LWExNzktNDEyNS1hODAyLTllMzVlOWFiOTk3OCIsImRyYWZ0X3ZlcnNpb24iOiIwIiwiaW5wdXRfaGFzaCI6IjExY2VhNDYyN2YzNzQwNmU5M2VkMWFlNzYzMGM0MTg5YjliYzk5MTA5YTIyOGFiM2NmNjA2MjVhYmRmOTI0NDUiLCJpdGVtX3ZlcnNpb24iOiIwIiwib3JnX2lkIjoiYzkyMTNhMjQtOTRhZi00ZWJjLTkwZjAtMmYwODI1ZDQxMTI5IiwicHJvYmxlbV9pZCI6IjhmZmI5ZGMyLWMxZTYtNGQyMi05NWYzLThlOGNiYmYwYWY1ZCIsInJldmlzaW9uX2lkIjoiMmRlOTRmNDMtZDVhYi00NTU0LTlkY2EtMzc0NzE1NzNmMWRiIiwicnVuX2lkIjoiYzg4MjIyNWEtZTg3ZS00YTYxLThiZjItOTViYWE3MTI0MWM0Iiwic291cmNlX2lkIjoiYjE5NDZiZGQtODg5My00Nzk3LTk5MGUtZmVmMzAwZWNjOGFmIn0=.951130e7d2690ded138f59b83947ca0110b9efbb7984a19a2ba683e45d08e1e8,15,000014,小米 xiaomi 15 16+1024 白色 国行 单机,小米,xiaomi 15,,16,1024,白色,国行,1,1939,CNY,PENDING / CONFLICT,
dbfccd28-bec9-45a1-9c13-3d7a2b0d5119,94fa76e7-0dd7-489a-a2c2-b2cd7ce5d89c,c882225a-e87e-4a61-8bf2-95baa71241c4,2de94f43-d5ab-4554-9dca-37471573f1db,0,0,eyJhY3Rvcl9pZCI6IjNiZGU0N2I0LWExNzktNDEyNS1hODAyLTllMzVlOWFiOTk3OCIsImRyYWZ0X3ZlcnNpb24iOiIwIiwiaW5wdXRfaGFzaCI6IjExY2VhNDYyN2YzNzQwNmU5M2VkMWFlNzYzMGM0MTg5YjliYzk5MTA5YTIyOGFiM2NmNjA2MjVhYmRmOTI0NDUiLCJpdGVtX3ZlcnNpb24iOiIwIiwib3JnX2lkIjoiYzkyMTNhMjQtOTRhZi00ZWJjLTkwZjAtMmYwODI1ZDQxMTI5IiwicHJvYmxlbV9pZCI6ImRiZmNjZDI4LWJlYzktNDVhMS05YzEzLTNkN2EyYjBkNTExOSIsInJldmlzaW9uX2lkIjoiMmRlOTRmNDMtZDVhYi00NTU0LTlkY2EtMzc0NzE1NzNmMWRiIiwicnVuX2lkIjoiYzg4MjIyNWEtZTg3ZS00YTYxLThiZjItOTViYWE3MTI0MWM0Iiwic291cmNlX2lkIjoiOTRmYTc2ZTctMGRkNy00ODlhLWEyYzItYjJjZDdjZTVkODljIn0=.b8cc2edcfb3dd52c2a604d0fbfc217d8b738fff19175b9c059fcb523d415b9c1,16,000015,三星 galaxy s25 12+1024 银色 国行 单机,三星,galaxy s25,,12,1024,银色,国行,1,2139,CNY,PENDING / CONFLICT,
fa9e8c67-c98f-4272-94ac-ccf2ce30f2b9,e8c8adfa-9c9b-452c-8b8c-b1ed697c9748,c882225a-e87e-4a61-8bf2-95baa71241c4,2de94f43-d5ab-4554-9dca-37471573f1db,0,0,eyJhY3Rvcl9pZCI6IjNiZGU0N2I0LWExNzktNDEyNS1hODAyLTllMzVlOWFiOTk3OCIsImRyYWZ0X3ZlcnNpb24iOiIwIiwiaW5wdXRfaGFzaCI6IjExY2VhNDYyN2YzNzQwNmU5M2VkMWFlNzYzMGM0MTg5YjliYzk5MTA5YTIyOGFiM2NmNjA2MjVhYmRmOTI0NDUiLCJpdGVtX3ZlcnNpb24iOiIwIiwib3JnX2lkIjoiYzkyMTNhMjQtOTRhZi00ZWJjLTkwZjAtMmYwODI1ZDQxMTI5IiwicHJvYmxlbV9pZCI6ImZhOWU4YzY3LWM5OGYtNDI3Mi05NGFjLWNjZjJjZTMwZjJiOSIsInJldmlzaW9uX2lkIjoiMmRlOTRmNDMtZDVhYi00NTU0LTlkY2EtMzc0NzE1NzNmMWRiIiwicnVuX2lkIjoiYzg4MjIyNWEtZTg3ZS00YTYxLThiZjItOTViYWE3MTI0MWM0Iiwic291cmNlX2lkIjoiZThjOGFkZmEtOWM5Yi00NTJjLThiOGMtYjFlZDY5N2M5NzQ4In0=.ecc058edb84ff0a04ebe601c4ff9e6896f42b48a2318a20305ebe7c1cebd3f8c,17,000016,三星 galaxy s25 ultra 12+1024 黑色 国行 单机,三星,galaxy s25 ultra,,12,1024,黑色,国行,1,2339,CNY,PENDING / CONFLICT,
d159fcae-0805-4355-a7d8-4f6f5c006f14,b9897227-88d2-4f2e-ad70-e1a981dc4a1c,c882225a-e87e-4a61-8bf2-95baa71241c4,2de94f43-d5ab-4554-9dca-37471573f1db,0,0,eyJhY3Rvcl9pZCI6IjNiZGU0N2I0LWExNzktNDEyNS1hODAyLTllMzVlOWFiOTk3OCIsImRyYWZ0X3ZlcnNpb24iOiIwIiwiaW5wdXRfaGFzaCI6IjExY2VhNDYyN2YzNzQwNmU5M2VkMWFlNzYzMGM0MTg5YjliYzk5MTA5YTIyOGFiM2NmNjA2MjVhYmRmOTI0NDUiLCJpdGVtX3ZlcnNpb24iOiIwIiwib3JnX2lkIjoiYzkyMTNhMjQtOTRhZi00ZWJjLTkwZjAtMmYwODI1ZDQxMTI5IiwicHJvYmxlbV9pZCI6ImQxNTlmY2FlLTA4MDUtNDM1NS1hN2Q4LTRmNmY1YzAwNmYxNCIsInJldmlzaW9uX2lkIjoiMmRlOTRmNDMtZDVhYi00NTU0LTlkY2EtMzc0NzE1NzNmMWRiIiwicnVuX2lkIjoiYzg4MjIyNWEtZTg3ZS00YTYxLThiZjItOTViYWE3MTI0MWM0Iiwic291cmNlX2lkIjoiYjk4OTcyMjctODhkMi00ZjJlLWFkNzAtZTFhOTgxZGM0YTFjIn0=.69995857fd6a99004dca0b795853aa93b43ed89e5e9306d70a5af5764187c39d,18,000017,荣耀 honor 400 12+1024 蓝色 国行 单机,荣耀,honor 400,,12,1024,蓝色,国行,1,2539,CNY,PENDING / CONFLICT,
55cbcd81-a776-446e-84a3-c64af96cbf9a,4845a16a-3125-4f44-8a75-e0c114605b22,c882225a-e87e-4a61-8bf2-95baa71241c4,2de94f43-d5ab-4554-9dca-37471573f1db,0,0,eyJhY3Rvcl9pZCI6IjNiZGU0N2I0LWExNzktNDEyNS1hODAyLTllMzVlOWFiOTk3OCIsImRyYWZ0X3ZlcnNpb24iOiIwIiwiaW5wdXRfaGFzaCI6IjExY2VhNDYyN2YzNzQwNmU5M2VkMWFlNzYzMGM0MTg5YjliYzk5MTA5YTIyOGFiM2NmNjA2MjVhYmRmOTI0NDUiLCJpdGVtX3ZlcnNpb24iOiIwIiwib3JnX2lkIjoiYzkyMTNhMjQtOTRhZi00ZWJjLTkwZjAtMmYwODI1ZDQxMTI5IiwicHJvYmxlbV9pZCI6IjU1Y2JjZDgxLWE3NzYtNDQ2ZS04NGEzLWM2NGFmOTZjYmY5YSIsInJldmlzaW9uX2lkIjoiMmRlOTRmNDMtZDVhYi00NTU0LTlkY2EtMzc0NzE1NzNmMWRiIiwicnVuX2lkIjoiYzg4MjIyNWEtZTg3ZS00YTYxLThiZjItOTViYWE3MTI0MWM0Iiwic291cmNlX2lkIjoiNDg0NWExNmEtMzEyNS00ZjQ0LThhNzUtZTBjMTE0NjA1YjIyIn0=.f509185176c9dfdaf811f5367248ffafd6134b0aae5e2be4f3ddaed102e21b10,19,000018,华为 pura 80 12+256 国行 单机,华为,pura 80,,12,256,,国行,1,2739,CNY,PENDING / REVIEW,
dce86cf8-b828-4ede-a18b-c5d133763689,315931fb-a3db-45e9-be79-f9ce38cbb2e1,c882225a-e87e-4a61-8bf2-95baa71241c4,2de94f43-d5ab-4554-9dca-37471573f1db,0,0,eyJhY3Rvcl9pZCI6IjNiZGU0N2I0LWExNzktNDEyNS1hODAyLTllMzVlOWFiOTk3OCIsImRyYWZ0X3ZlcnNpb24iOiIwIiwiaW5wdXRfaGFzaCI6IjExY2VhNDYyN2YzNzQwNmU5M2VkMWFlNzYzMGM0MTg5YjliYzk5MTA5YTIyOGFiM2NmNjA2MjVhYmRmOTI0NDUiLCJpdGVtX3ZlcnNpb24iOiIwIiwib3JnX2lkIjoiYzkyMTNhMjQtOTRhZi00ZWJjLTkwZjAtMmYwODI1ZDQxMTI5IiwicHJvYmxlbV9pZCI6ImRjZTg2Y2Y4LWI4MjgtNGVkZS1hMThiLWM1ZDEzMzc2MzY4OSIsInJldmlzaW9uX2lkIjoiMmRlOTRmNDMtZDVhYi00NTU0LTlkY2EtMzc0NzE1NzNmMWRiIiwicnVuX2lkIjoiYzg4MjIyNWEtZTg3ZS00YTYxLThiZjItOTViYWE3MTI0MWM0Iiwic291cmNlX2lkIjoiMzE1OTMxZmItYTNkYi00NWU5LWJlNzktZjljZTM4Y2JiMmUxIn0=.214d5304267f65b8b6d6a6808e52581096bf2371afc8ff3502d7342428b328d9,20,000019,OPPO find x8 12+256 国行 单机,OPPO,find x8,,12,256,,国行,1,2939,CNY,PENDING / REVIEW,
5f74da67-523a-420b-9174-7d41fe0dab76,b5335d90-9a07-438a-a314-2382d59ffb70,c882225a-e87e-4a61-8bf2-95baa71241c4,2de94f43-d5ab-4554-9dca-37471573f1db,0,0,eyJhY3Rvcl9pZCI6IjNiZGU0N2I0LWExNzktNDEyNS1hODAyLTllMzVlOWFiOTk3OCIsImRyYWZ0X3ZlcnNpb24iOiIwIiwiaW5wdXRfaGFzaCI6IjExY2VhNDYyN2YzNzQwNmU5M2VkMWFlNzYzMGM0MTg5YjliYzk5MTA5YTIyOGFiM2NmNjA2MjVhYmRmOTI0NDUiLCJpdGVtX3ZlcnNpb24iOiIwIiwib3JnX2lkIjoiYzkyMTNhMjQtOTRhZi00ZWJjLTkwZjAtMmYwODI1ZDQxMTI5IiwicHJvYmxlbV9pZCI6IjVmNzRkYTY3LTUyM2EtNDIwYi05MTc0LTdkNDFmZTBkYWI3NiIsInJldmlzaW9uX2lkIjoiMmRlOTRmNDMtZDVhYi00NTU0LTlkY2EtMzc0NzE1NzNmMWRiIiwicnVuX2lkIjoiYzg4MjIyNWEtZTg3ZS00YTYxLThiZjItOTViYWE3MTI0MWM0Iiwic291cmNlX2lkIjoiYjUzMzVkOTAtOWEwNy00MzhhLWEzMTQtMjM4MmQ1OWZmYjcwIn0=.40e26347d20b2e4ba4393c86e99e590e787f03031beab62c85a66a7fbb898077,21,000020,vivo x200 12+256 国行 单机,vivo,x200,,12,256,,国行,1,3139,CNY,PENDING / REVIEW,
75462f97-ee35-49da-8f6d-f468130446ed,f3b9e472-28dd-4577-a858-2772c414d63f,c882225a-e87e-4a61-8bf2-95baa71241c4,2de94f43-d5ab-4554-9dca-37471573f1db,0,0,eyJhY3Rvcl9pZCI6IjNiZGU0N2I0LWExNzktNDEyNS1hODAyLTllMzVlOWFiOTk3OCIsImRyYWZ0X3ZlcnNpb24iOiIwIiwiaW5wdXRfaGFzaCI6IjExY2VhNDYyN2YzNzQwNmU5M2VkMWFlNzYzMGM0MTg5YjliYzk5MTA5YTIyOGFiM2NmNjA2MjVhYmRmOTI0NDUiLCJpdGVtX3ZlcnNpb24iOiIwIiwib3JnX2lkIjoiYzkyMTNhMjQtOTRhZi00ZWJjLTkwZjAtMmYwODI1ZDQxMTI5IiwicHJvYmxlbV9pZCI6Ijc1NDYyZjk3LWVlMzUtNDlkYS04ZjZkLWY0NjgxMzA0NDZlZCIsInJldmlzaW9uX2lkIjoiMmRlOTRmNDMtZDVhYi00NTU0LTlkY2EtMzc0NzE1NzNmMWRiIiwicnVuX2lkIjoiYzg4MjIyNWEtZTg3ZS00YTYxLThiZjItOTViYWE3MTI0MWM0Iiwic291cmNlX2lkIjoiZjNiOWU0NzItMjhkZC00NTc3LWE4NTgtMjc3MmM0MTRkNjNmIn0=.038eeef2822470d163dc5cf83e7c915fec4f7f35fbc0df98782a618520e15c83,22,000021,A牌 x5 8+128 国行 单机,A牌,x5,,8,128,,国行,1,3339,CNY,PENDING / REVIEW,
