商品编号,商品名称,品牌,型号,运行内存,存储容量,颜色,销售版本,包装数量,报价,币种
000001,小米 XIAOMI 15 12+256 黑色 国行 原封 单台,小米,xiaomi 15,12,256,黑色,国行,1,1739,CNY
000002,小米 XIAOMI 15 16+512 白色 国行 原封 单台,小米,xiaomi 15,16,512,白色,国行,1,1939,CNY
000003,三星 GALAXY S25 12+256 银色 国行 原封 单台,三星,galaxy s25,12,256,银色,国行,1,2139,CNY
000004,三星 GALAXY S25 ULTRA 12+512 黑色 国行 原封 单台,三星,galaxy s25 ultra,12,512,黑色,国行,1,2339,CNY
000005,荣耀 HONOR 400 12+256 蓝色 国行 原封 单台,荣耀,honor 400,12,256,蓝色,国行,1,2539,CNY
000006,华为 PURA 80 12+256 黑色 国行 原封 单台,华为,pura 80,12,256,黑色,国行,1,2739,CNY
000007,OPPO FIND X8 12+256 白色 国行 原封 单台,OPPO,find x8,12,256,白色,国行,1,2939,CNY
000008,vivo X200 12+256 蓝色 国行 原封 单台,vivo,x200,12,256,蓝色,国行,1,3139,CNY
000009,A牌 X5 8+128 黑色 国行 原封 单台,A牌,x5,8,128,黑色,国行,1,3339,CNY
000010,A牌 X5 12+256 黑色 国行 原封 单台,A牌,x5,12,256,黑色,国行,1,3539,CNY
000011,A牌 X6-PRO 12+256 黑色 国行 原封 单台,A牌,x6-pro,12,256,黑色,国行,1,3739,CNY
000012,红米 NOTE 14 8+128 黑色 国行 原封 单台,红米,note 14,8,128,黑色,国行,1,3939,CNY
000013,小米 xiaomi 15 12+1024 黑色 国行 单机,小米,xiaomi 15,12,1024,黑色,国行,1,1739,CNY
000014,小米 xiaomi 15 16+1024 白色 国行 单机,小米,xiaomi 15,16,1024,白色,国行,1,1939,CNY
000015,三星 galaxy s25 12+1024 银色 国行 单机,三星,galaxy s25,12,1024,银色,国行,1,2139,CNY
000016,三星 galaxy s25 ultra 12+1024 黑色 国行 单机,三星,galaxy s25 ultra,12,1024,黑色,国行,1,2339,CNY
000017,荣耀 honor 400 12+1024 蓝色 国行 单机,荣耀,honor 400,12,1024,蓝色,国行,1,2539,CNY
000018,华为 pura 80 12+256 国行 单机,华为,pura 80,12,256,,国行,1,2739,CNY
000019,OPPO find x8 12+256 国行 单机,OPPO,find x8,12,256,,国行,1,2939,CNY
000020,vivo x200 12+256 国行 单机,vivo,x200,12,256,,国行,1,3139,CNY
000021,A牌 x5 8+128 国行 单机,A牌,x5,8,128,,国行,1,3339,CNY
000022,A牌 x5 12+256 国行 单机,A牌,x5,12,256,,国行,1,3539,CNY
000023,A牌 X6-PRO 12+256 黑色 港版 单机,A牌,x6-pro,12,256,黑色,港版,1,3739,CNY
000024,红米 NOTE 14 8+128 黑色 港版 单机,红米,note 14,8,128,黑色,港版,1,3939,CNY
000025,小米 XIAOMI 15 12+256 黑色 港版 单机,小米,xiaomi 15,12,256,黑色,港版,1,1739,CNY
000026,小米 XIAOMI 15 16+512 白色 国行 2台装,小米,xiaomi 15,16,512,白色,国行,2,1939,CNY
000027,三星 GALAXY S25 12+256 银色 国行 2台装,三星,galaxy s25,12,256,银色,国行,2,2139,CNY
000028,三星 GALAXY S25 ULTRA 12+512 黑色 国行 2台装,三星,galaxy s25 ultra,12,512,黑色,国行,2,2339,CNY
000029,ZZZ Q777 限量设备,ZZZ,q777,64,4096,橙色,国际版,1,999,CNY
000030,,,,,,,,,,
