商品编号,商品名称,品牌,型号,运行内存,存储容量,颜色,销售版本,包装数量,报价,币种
STD-0001,小米 XIAOMI 15 12+256 黑色 国行 单机,小米,xiaomi 15,12,256,黑色,国行,1,1799,CNY
STD-0002,小米 XIAOMI 15 16+512 白色 国行 单机,小米,xiaomi 15,16,512,白色,国行,1,1999,CNY
STD-0003,三星 GALAXY S25 12+256 银色 国行 单机,三星,galaxy s25,12,256,银色,国行,1,2199,CNY
STD-0004,三星 GALAXY S25 ULTRA 12+512 黑色 国行 单机,三星,galaxy s25 ultra,12,512,黑色,国行,1,2399,CNY
STD-0005,荣耀 HONOR 400 12+256 蓝色 国行 单机,荣耀,honor 400,12,256,蓝色,国行,1,2599,CNY
STD-0006,华为 PURA 80 12+256 黑色 国行 单机,华为,pura 80,12,256,黑色,国行,1,2799,CNY
STD-0007,OPPO FIND X8 12+256 白色 国行 单机,OPPO,find x8,12,256,白色,国行,1,2999,CNY
STD-0008,vivo X200 12+256 蓝色 国行 单机,vivo,x200,12,256,蓝色,国行,1,3199,CNY
STD-0009,A牌 X5 8+128 黑色 国行 单机,A牌,x5,8,128,黑色,国行,1,3399,CNY
STD-0010,A牌 X5 12+256 黑色 国行 单机,A牌,x5,12,256,黑色,国行,1,3599,CNY
STD-0011,A牌 X6-PRO 12+256 黑色 国行 单机,A牌,x6-pro,12,256,黑色,国行,1,3799,CNY
STD-0012,红米 NOTE 14 8+128 黑色 国行 单机,红米,note 14,8,128,黑色,国行,1,3999,CNY
